timestamp,state,action,reward,old_q,new_q,max_future_q
2026-04-26 23:48:40.844568,S1,turun,5,0,0.5,0
2026-04-26 23:51:00.286979,S1,turun,5,0.5,0.9950000000000001,0.5
2026-04-26 23:51:09.267896,S1,turun,5,0.9950000000000001,1.4850500000000002,0.9950000000000001
2026-04-26 23:51:21.613436,S1,turun,5,1.4850500000000002,1.9701995,1.4850500000000002
2026-04-26 23:51:26.655194,S1,turun,5,1.9701995,2.4504975050000004,1.9701995
2026-04-26 23:51:30.413940,S1,tetap,5,0,0.7205447754500001,2.4504975050000004
2026-04-26 23:51:36.147591,S1,tetap,5,0.7205447754500001,1.369035073355,2.4504975050000004
2026-04-26 23:51:39.421078,S1,turun,5,2.4504975050000004,2.9259925299500003,2.4504975050000004
2026-04-26 23:51:45.569578,S1,turun,5,2.9259925299500003,3.3967326046505004,2.9259925299500003
2026-04-26 23:51:48.464955,S1,turun,5,3.3967326046505004,3.8627652786039954,3.3967326046505004
2026-04-26 23:52:04.742895,S2,turun,10,0,1.0,0
2026-04-26 23:52:50.560072,S2,turun,10,1.0,1.9900000000000002,1.0
2026-04-26 23:53:01.464173,S2,turun,10,1.9900000000000002,2.9701000000000004,1.9900000000000002
2026-04-26 23:53:05.320518,S2,turun,10,2.9701000000000004,3.940399,2.9701000000000004
2026-04-26 23:53:06.708753,S2,turun,10,3.940399,4.900995010000001,3.940399
2026-04-26 23:53:07.924830,S2,turun,10,4.900995010000001,5.8519850599000005,4.900995010000001
2026-04-26 23:53:09.193061,S2,turun,10,5.8519850599000005,6.793465209301001,5.8519850599000005
2026-04-26 23:53:10.826154,S2,turun,10,6.793465209301001,7.725530557207991,6.793465209301001
2026-04-26 23:53:12.213294,S2,turun,10,7.725530557207991,8.64827525163591,7.725530557207991
2026-04-26 23:53:13.372506,S2,turun,10,8.64827525163591,9.561792499119552,8.64827525163591
2026-04-26 23:53:14.502629,S2,turun,10,9.561792499119552,10.466174574128356,9.561792499119552
2026-04-26 23:55:12.557733,S2,tetap,10,0,1.941955711671552,10.466174574128356
2026-04-26 23:55:14.216987,S2,turun,10,10.466174574128356,11.361512828387072,10.466174574128356
2026-04-26 23:55:15.917156,S2,turun,10,11.361512828387072,12.247897700103202,11.361512828387072
2026-04-26 23:55:17.024368,S2,turun,10,12.247897700103202,13.12541872310217,12.247897700103202
