timestamp,state,action,reward,old_q,new_q,max_future_q
2026-04-27 01:44:04.556103,S2,turun,10,0,5.0,0
2026-04-27 01:52:51.879426,S1,turun,5,0,2.5,0
2026-04-27 01:53:37.166514,S2,turun,10,5.0,9.75,5.0
2026-04-27 01:54:05.716522,S2,turun,10,9.75,14.2625,9.75
2026-04-27 01:54:34.240967,S1,naik,5,0,2.5,0
2026-04-27 01:58:15.661313,S5,turun,10,0,11.418125,14.2625
2026-04-27 02:02:06.306848,S2,turun,10,14.2625,18.549374999999998,14.2625
2026-04-27 09:09:57.385732,S2,turun,2,18.549374999999998,18.62190625,18.549374999999998
2026-04-27 09:10:31.340472,S1,turun,5,2.5,4.875,2.5
2026-04-27 09:10:56.122969,S2,turun,2,18.62190625,18.690810937499997,18.62190625
2026-04-27 09:11:21.276178,S2,naik,15,0,12.63815625,11.418125
2026-04-27 09:11:59.148600,S5,turun,2,11.418125,15.119927421875,18.690810937499997
2026-04-27 09:12:23.904675,S2,turun,2,18.690810937499997,18.756270390624998,18.690810937499997
2026-04-27 09:12:45.041643,S2,tetap,10,0,13.440321675781249,18.756270390624998
2026-04-27 09:13:03.494913,S2,naik,15,12.63815625,20.62304546484375,15.119927421875
2026-04-27 09:13:48.570444,S5,turun,2,15.119927421875,17.84033417011719,20.62304546484375
